,地区生产总值,第一产业增加值,第二产业增加值,第三产业增加值,,
北京市,35371.28,113.69,5715.06,29542.53,,
天津市,14104.28,185.23,4969.18,8949.87,,
河北省,35104.52,3518.44,13597.26,17988.82,,
山西省,17026.68,824.72,7453.09,8748.87,,
内蒙古自治区,17212.53,1863.19,6818.88,8530.46,,
辽宁省,24909.45,2177.77,9531.24,13200.44,,
吉林省,11726.82,1287.32,4134.82,6304.68,,
黑龙江省,13612.68,3182.45,3615.21,6815.03,,
上海市,38155.32,103.88,10299.16,27752.28,,
江苏省,99631.52,4296.28,44270.51,51064.73,,
浙江省,62351.74,2097.38,26566.60,33687.76,,
安徽省,37113.98,2915.70,15337.90,18860.38,,
福建省,42395.00,2596.23,20581.74,19217.03,,
江西省,24757.50,2057.56,10939.83,11760.11,,
山东省,71067.53,5116.44,28310.92,37640.17,,
河南省,54259.20,4635.40,23605.79,26018.01,,
湖北省,45828.31,3809.09,19098.62,22920.60,,
湖南省,39752.12,3646.95,14946.98,21158.19,,
广东省,107671.07,4351.26,43546.43,59773.38,,
广西壮族自治区,21237.14,3387.74,7077.43,10771.97,,
海南省,5308.93,1080.36,1099.03,3129.54,,
重庆市,23605.77,1551.42,9496.84,12557.51,,
四川省,46615.82,4807.24,17365.33,24443.25,,
贵州省,16769.34,2280.56,6058.45,8430.33,,
云南省,23223.75,3037.62,7961.58,12224.55,,
西藏自治区,1697.82,138.19,635.62,924.01,,
陕西省,25793.17,1990.93,11980.75,11821.49,,
甘肃省,8718.30,1050.48,2862.42,4805.40,,
青海省,2965.95,301.90,1159.75,1504.30,,
宁夏回族自治区,3748.48,279.93,1584.72,1883.83,,
新疆维吾尔自治区,13597.11,1781.75,4795.50,7019.86,,
